backend,distance,physical_error_rate,logical_error_rate
stim_unrotated,7,0.0005,0.0
stim_unrotated,7,0.001,0.0
stim_unrotated,7,0.0015,2e-05
stim_unrotated,7,0.002,8e-05
stim_unrotated,7,0.0025,4e-05
stim_unrotated,7,0.003,0.00046
stim_unrotated,7,0.0035,0.00074
stim_unrotated,7,0.004,0.00134
stim_unrotated,7,0.0045,0.00194
stim_unrotated,7,0.005,0.00308
checkerboard,7,0.0005,0.00808
checkerboard,7,0.001,0.01516
checkerboard,7,0.0015,0.02478
checkerboard,7,0.002,0.0321
checkerboard,7,0.0025,0.03868
checkerboard,7,0.003,0.04784
checkerboard,7,0.0035,0.05644
checkerboard,7,0.004,0.06412
checkerboard,7,0.0045,0.07144
checkerboard,7,0.005,0.08022
