backend,distance,physical_error_rate,logical_error_rate
stim_unrotated,3,0.0005,0.00018
stim_unrotated,3,0.001,0.00056
stim_unrotated,3,0.0015,0.00124
stim_unrotated,3,0.002,0.00164
stim_unrotated,3,0.0025,0.00348
stim_unrotated,3,0.003,0.0048
stim_unrotated,3,0.0035,0.00616
stim_unrotated,3,0.004,0.00838
stim_unrotated,3,0.0045,0.01008
stim_unrotated,3,0.005,0.01262
checkerboard,3,0.0005,0.00434
checkerboard,3,0.001,0.00892
checkerboard,3,0.0015,0.01386
checkerboard,3,0.002,0.0175
checkerboard,3,0.0025,0.02202
checkerboard,3,0.003,0.0273
checkerboard,3,0.0035,0.03148
checkerboard,3,0.004,0.03406
checkerboard,3,0.0045,0.0397
checkerboard,3,0.005,0.04082
