lattice,distance,physical_error_rate,logical_error_rate
rotated,5,0.0005,0.0
rotated,5,0.001,0.00012
rotated,5,0.0015,0.00026
rotated,5,0.002,0.00054
rotated,5,0.0025,0.00118
rotated,5,0.003,0.00212
rotated,5,0.0035,0.00276
rotated,5,0.004,0.00372
rotated,5,0.0045,0.00588
rotated,5,0.005,0.00766
unrotated,5,0.0005,0.0
unrotated,5,0.001,2e-05
unrotated,5,0.0015,8e-05
unrotated,5,0.002,0.00024
unrotated,5,0.0025,0.00042
unrotated,5,0.003,0.00062
unrotated,5,0.0035,0.00094
unrotated,5,0.004,0.00166
unrotated,5,0.0045,0.00334
unrotated,5,0.005,0.00376
