lattice,distance,physical_error_rate,logical_error_rate
rotated,7,0.0005,0.0
rotated,7,0.001,0.0
rotated,7,0.0015,0.0
rotated,7,0.002,0.00012
rotated,7,0.0025,0.0004
rotated,7,0.003,0.00068
rotated,7,0.0035,0.00096
rotated,7,0.004,0.00164
rotated,7,0.0045,0.00314
rotated,7,0.005,0.00434
unrotated,7,0.0005,0.0
unrotated,7,0.001,0.0
unrotated,7,0.0015,0.0
unrotated,7,0.002,6e-05
unrotated,7,0.0025,0.00012
unrotated,7,0.003,0.00022
unrotated,7,0.0035,0.00032
unrotated,7,0.004,0.00046
unrotated,7,0.0045,0.00116
unrotated,7,0.005,0.00196
