lattice,distance,physical_error_rate,logical_error_rate
rotated,5,0.0005,4e-05
rotated,5,0.001,8e-05
rotated,5,0.0015,0.00026
rotated,5,0.002,0.00042
rotated,5,0.0025,0.00092
rotated,5,0.003,0.00164
rotated,5,0.0035,0.00242
rotated,5,0.004,0.0033
rotated,5,0.0045,0.00424
rotated,5,0.005,0.00602
unrotated,5,0.0005,0.0
unrotated,5,0.001,2e-05
unrotated,5,0.0015,0.00018
unrotated,5,0.002,0.00056
unrotated,5,0.0025,0.00076
unrotated,5,0.003,0.00178
unrotated,5,0.0035,0.00274
unrotated,5,0.004,0.00404
unrotated,5,0.0045,0.00542
unrotated,5,0.005,0.00742
