lattice,distance,physical_error_rate,logical_error_rate
rotated,3,0.0005,0.0003
rotated,3,0.001,0.00064
rotated,3,0.0015,0.0013
rotated,3,0.002,0.00208
rotated,3,0.0025,0.00336
rotated,3,0.003,0.0046
rotated,3,0.0035,0.0058
rotated,3,0.004,0.00668
rotated,3,0.0045,0.00788
rotated,3,0.005,0.01098
unrotated,3,0.0005,0.0002
unrotated,3,0.001,0.00044
unrotated,3,0.0015,0.0012
unrotated,3,0.002,0.0022
unrotated,3,0.0025,0.00308
unrotated,3,0.003,0.00466
unrotated,3,0.0035,0.00602
unrotated,3,0.004,0.00808
unrotated,3,0.0045,0.00986
unrotated,3,0.005,0.01248
