backend,distance,physical_error_rate,logical_error_rate
stim_unrotated,3,0.0005,0.0001
stim_unrotated,3,0.001,0.00034
stim_unrotated,3,0.0015,0.00078
stim_unrotated,3,0.002,0.00138
stim_unrotated,3,0.0025,0.00208
stim_unrotated,3,0.003,0.00306
stim_unrotated,3,0.0035,0.00416
stim_unrotated,3,0.004,0.00528
stim_unrotated,3,0.0045,0.00662
stim_unrotated,3,0.005,0.00854
checkerboard,3,0.0005,0.00288
checkerboard,3,0.001,0.00532
checkerboard,3,0.0015,0.00796
checkerboard,3,0.002,0.0102
checkerboard,3,0.0025,0.0137
checkerboard,3,0.003,0.01582
checkerboard,3,0.0035,0.0184
checkerboard,3,0.004,0.02116
checkerboard,3,0.0045,0.02338
checkerboard,3,0.005,0.0255
