backend,distance,physical_error_rate,logical_error_rate
stim_unrotated,5,0.0005,0.0
stim_unrotated,5,0.001,6e-05
stim_unrotated,5,0.0015,0.0001
stim_unrotated,5,0.002,0.00016
stim_unrotated,5,0.0025,0.00044
stim_unrotated,5,0.003,0.00074
stim_unrotated,5,0.0035,0.00124
stim_unrotated,5,0.004,0.00194
stim_unrotated,5,0.0045,0.0032
stim_unrotated,5,0.005,0.00446
checkerboard,5,0.0005,0.00484
checkerboard,5,0.001,0.00962
checkerboard,5,0.0015,0.01448
checkerboard,5,0.002,0.01806
checkerboard,5,0.0025,0.02282
checkerboard,5,0.003,0.02788
checkerboard,5,0.0035,0.0321
checkerboard,5,0.004,0.03654
checkerboard,5,0.0045,0.04294
checkerboard,5,0.005,0.04624
